Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
18. EGA, LP-3, Dis-Ec, freeing/open	Sam’s iPhone		Voice Memos						Voice Memo	89110	10						4/24/21, 2:46 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			10	4/24/21, 2:46 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/18. EGA, LP-3, Dis-Ec, freeing_open.m4a
19. EGA, LP-3, Percussion, happy to urgent	Sam’s iPhone		Voice Memos						Voice Memo	442976	54						4/24/21, 2:46 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:45 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/19. EGA, LP-3, Percussion, happy to urgent.m4a
20. EGA, LP-Rev, Dis, minor	Sam’s iPhone		Voice Memos						Voice Memo	168962	20						4/24/21, 2:46 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 2:46 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/20. EGA, LP-Rev, Dis, minor.m4a
21. EGA, Dir-Ec, majestic/finale	Sam’s iPhone		Voice Memos						Voice Memo	295184	36						4/24/21, 2:47 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 2:47 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/21. EGA, Dir-Ec, majestic_finale.m4a
22. EGA, LP-3, Ec, dissonant/strange	Sam’s iPhone		Voice Memos						Voice Memo	85866	10						4/24/21, 2:47 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			12	4/24/21, 2:47 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/22. EGA, LP-3, Ec, dissonant_strange.m4a
23. EGA, major/cheeky	Sam’s iPhone		Voice Memos						Voice Memo	181677	22						4/24/21, 2:47 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 2:47 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/23. EGA, major_cheeky.m4a
24. EGA, major/staccato	Sam’s iPhone		Voice Memos						Voice Memo	117381	14						4/24/21, 2:48 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 2:48 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/24. EGA, major_staccato.m4a
25. EGA, major	Sam’s iPhone		Voice Memos						Voice Memo	150933	18						4/24/21, 2:48 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:03 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/25. EGA, major.m4a
26. EGA, LP-2, Dis, Voice, major	Sam’s iPhone		Voice Memos						Voice Memo	143495	17						4/24/21, 2:48 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 2:48 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/26. EGA, LP-2, Dis, Voice, major.m4a
27. EGA, LP-3, major	Sam’s iPhone		Voice Memos						Voice Memo	98321	11						4/24/21, 2:48 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			12	4/24/21, 2:49 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/27. EGA, LP-3, major.m4a
28. EGA, LP-3, Dis-Ec, Percussion, minor/contemplative	Sam’s iPhone		Voice Memos						Voice Memo	139303	17						4/24/21, 2:49 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 2:49 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/28. EGA, LP-3, Dis-Ec, Percussion, minor_contemplative.m4a
29. EGA, LP-3	Sam’s iPhone		Voice Memos						Voice Memo	330856	40						4/24/21, 2:50 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 2:51 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/29. EGA, LP-3.m4a
30. EGA, LP-4, Dis-Dir, tense	Sam’s iPhone		Voice Memos						Voice Memo	89709	10						4/24/21, 2:51 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			10	4/24/21, 2:51 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/30. EGA, LP-4, Dis-Dir, tense.m4a
31. EGA, LP-2, Dir, insistent	Sam’s iPhone		Voice Memos						Voice Memo	205192	25						4/24/21, 2:51 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 2:51 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/31. EGA, LP-2, Dir, insistent.m4a
32. EGA, LP-3-Rev, questioning	Sam’s iPhone		Voice Memos						Voice Memo	707534	87						4/24/21, 2:51 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/18/21, 10:36 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/32. EGA, LP-3-Rev, questioning.m4a
