Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
76. AG, exploratory/coming home	Sam’s iPhone		Voice Memos						Voice Memo	232988	28						4/24/21, 3:14 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/19/21, 9:59 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/76. AG, exploratory_coming home.m4a
77. AG, dissonant	Sam’s iPhone		Voice Memos						Voice Memo	63799	7						4/24/21, 3:14 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:14 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/77. AG, dissonant.m4a
78. AG, hammer on-pull off/quick-riff	Sam’s iPhone		Voice Memos						Voice Memo	176996	21						4/24/21, 3:14 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:14 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/78. AG, hammer on-pull off_quick-riff.m4a
79. AG, mystery	Sam’s iPhone		Voice Memos						Voice Memo	251999	31						4/24/21, 3:15 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:15 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/79. AG, mystery.m4a
80. AG, dissonant	Sam’s iPhone		Voice Memos						Voice Memo	188766	23						4/24/21, 3:15 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:15 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/80. AG, dissonant.m4a
81. AG, minor/alt-tuning	Sam’s iPhone		Voice Memos						Voice Memo	331919	40						4/24/21, 3:15 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:15 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/81. AG, minor_alt-tuning.m4a
82. AGA, Ec, Voice, dissonant/jangly	Sam’s iPhone		Voice Memos						Voice Memo	275565	33						4/24/21, 3:15 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:16 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/82. AGA, Ec, Voice, dissonant_jangly.m4a
83. EGA, LP-3, Dir, minor/wit's end	Sam’s iPhone		Voice Memos						Voice Memo	218627	26						4/24/21, 3:16 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:21 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/83. EGA, LP-3, Dir, minor_wit's end.m4a
84. AGA, LP-2, hopeful/grind	Sam’s iPhone		Voice Memos						Voice Memo	92397	11						4/24/21, 3:21 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			9	4/24/21, 3:21 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/84. AGA, LP-2, hopeful_grind.m4a
85. AG, minor/mysterious	Sam’s iPhone		Voice Memos						Voice Memo	183776	22						4/21/21, 10:09 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/21/21, 10:09 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/85. AG, minor_mysterious.m4a
86. AG, Percussion, major	Sam’s iPhone		Voice Memos						Voice Memo	228134	27						4/24/21, 3:22 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:22 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/86. AG, Percussion, major.m4a
87. Beatbox	Sam’s iPhone		Voice Memos						Voice Memo	120999	14						4/24/21, 3:22 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/21/21, 10:20 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/87. Beatbox.m4a
88. AGA, LP-2-Rev, major to minor	Sam’s iPhone		Voice Memos						Voice Memo	484812	60						4/24/21, 3:22 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			1	4/21/21, 10:20 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/88. AGA, LP-2-Rev, major to minor.m4a
89. Pen sounds	Sam’s iPhone		Voice Memos						Voice Memo	206734	24						4/24/21, 3:23 PM	12/12/19, 5:19 PM	64	44100		AAC audio file								Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/89. Pen sounds.m4a
90. AG, major/50's/quick-riff	Sam’s iPhone		Voice Memos						Voice Memo	181944	22						4/24/21, 3:23 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:23 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/90. AG, major_50's_quick-riff.m4a
91. AGA, LP-2, minor/loss	Sam’s iPhone		Voice Memos						Voice Memo	248186	30						4/24/21, 3:23 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:24 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/91. AGA, LP-2, minor_loss.m4a
92. Mouth sounds	Sam’s iPhone		Voice Memos						Voice Memo	112228	13						4/24/21, 3:24 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:24 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/92. Mouth sounds.m4a
93. AGA, simple/quick-riff	Sam’s iPhone		Voice Memos						Voice Memo	79731	9						4/24/21, 3:24 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:24 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/93. AGA, simple_quick-riff.m4a
94. AGA, LP-3, Dis-Wa, Percussion, major/race	Sam’s iPhone		Voice Memos						Voice Memo	94871	11						4/24/21, 3:24 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:24 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/94. AGA, LP-3, Dis-Wa, Percussion, major_race.m4a
95. EGA, mario/video game	Sam’s iPhone		Voice Memos						Voice Memo	101420	12						4/24/21, 3:24 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:24 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/95. EGA, mario_video game.m4a
96. AGA, LP-2, waltz/pleasant	Sam’s iPhone		Voice Memos						Voice Memo	146937	17						4/24/21, 3:25 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:25 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/96. AGA, LP-2, waltz_pleasant.m4a
97. EGA, LP-3, Dis-Wa, bad recording/detective	Sam’s iPhone		Voice Memos						Voice Memo	43846	20						4/24/21, 3:25 PM	12/12/19, 5:19 PM	16	8000		AAC audio file			3	4/24/21, 3:25 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/97. EGA, LP-3, Dis-Wa, bad recording_detective.m4a
98. AG, in it/note explosion	Sam’s iPhone		Voice Memos						Voice Memo	242028	28						4/24/21, 3:26 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:26 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/98. AG, in it_note explosion.m4a
99. AGA, indifferent	Sam’s iPhone		Voice Memos						Voice Memo	92381	11						4/24/21, 3:26 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			8	4/24/21, 3:26 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/99. AGA, indifferent.m4a
100. AGA, LP-4, hopeful	Sam’s iPhone		Voice Memos						Voice Memo	325918	40						4/24/21, 3:26 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:27 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/100. AGA, LP-4, hopeful.m4a
101. AGA, trying	Sam’s iPhone		Voice Memos						Voice Memo	89329	10						4/24/21, 3:27 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:27 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/101. AGA, trying.m4a
102. AGA, LP-3, on your way	Sam’s iPhone		Voice Memos						Voice Memo	146060	17						4/24/21, 3:27 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			8	4/24/21, 3:27 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/102. AGA, LP-3, on your way.m4a
103. AGA, LP-2, Dis-Dir, tired	Sam’s iPhone		Voice Memos						Voice Memo	172726	21						4/24/21, 3:28 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:28 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/103. AGA, LP-2, Dis-Dir, tired.m4a
104. AGA, long road ahead	Sam’s iPhone		Voice Memos						Voice Memo	299305	36						4/24/21, 3:28 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			1	4/24/21, 3:28 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/104. AGA, long road ahead.m4a
105. AGA, LP-2-Rev, minor/old argument	Sam’s iPhone		Voice Memos						Voice Memo	517653	63						4/24/21, 3:28 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			1	4/21/21, 10:33 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/105. AGA, LP-2-Rev, minor_old argument.m4a
106. AGA, LP-2, minor/alt-tuning	Sam’s iPhone		Voice Memos						Voice Memo	186717	22						4/24/21, 3:29 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:29 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/106. AGA, LP-2, minor_alt-tuning.m4a
107. AGA, LP-3, major/trip with friends	Sam’s iPhone		Voice Memos						Voice Memo	130507	15						4/24/21, 3:29 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			7	4/24/21, 3:29 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/107. AGA, LP-3, major_trip with friends.m4a
108. AGA, LP-3, Percussion, stubborn	Sam’s iPhone		Voice Memos						Voice Memo	292407	35						4/24/21, 3:29 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			1	4/21/21, 10:37 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/108. AGA, LP-3, Percussion, stubborn.m4a
109. AGA, LP-2, minor/ready for battle	Sam’s iPhone		Voice Memos						Voice Memo	166279	20						4/24/21, 3:29 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/21/21, 10:38 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/109. AGA, LP-2, minor_ready for battle.m4a
110. AG, minor	Sam’s iPhone		Voice Memos						Voice Memo	90101	10						4/24/21, 3:29 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:30 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/110. AG, minor.m4a
111. AG, bluesy	Sam’s iPhone		Voice Memos						Voice Memo	250592	30						4/24/21, 3:30 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/21/21, 10:39 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/111. AG, bluesy.m4a
112. AGA, scale-like	Sam’s iPhone		Voice Memos						Voice Memo	106153	12						4/24/21, 3:30 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:30 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/112. AGA, scale-like.m4a
113. AG, old/tired	Sam’s iPhone		Voice Memos						Voice Memo	161948	19						4/24/21, 3:30 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:30 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/113. AG, old_tired.m4a
114. AGA, LP-2, Ch-Re, major/harmonics	Sam’s iPhone		Voice Memos						Voice Memo	78212	9						4/24/21, 3:31 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			9	4/24/21, 3:31 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/114. AGA, LP-2, Ch-Re, major_harmonics.m4a
115. AGA, hammer-on/pull-off	Sam’s iPhone		Voice Memos						Voice Memo	123974	15						4/24/21, 3:31 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			7	4/24/21, 3:31 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/115. AGA, hammer-on_pull-off.m4a
116. AGA, bluesy	Sam’s iPhone		Voice Memos						Voice Memo	132074	16						4/24/21, 3:31 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:31 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/116. AGA, bluesy.m4a
117. AGA, major/old-timey	Sam’s iPhone		Voice Memos						Voice Memo	134441	16						4/24/21, 3:32 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:32 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/117. AGA, major_old-timey.m4a
118. AG, minor/intricate	Sam’s iPhone		Voice Memos						Voice Memo	197880	24						4/24/21, 3:32 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/21/21, 10:45 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/118. AG, minor_intricate.m4a
119. AGA, LP-2-Rev, major/future	Sam’s iPhone		Voice Memos						Voice Memo	78046	9						4/24/21, 3:32 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:32 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/119. AGA, LP-2-Rev, major_future.m4a
120. AGA, LP-2, Ec, water	Sam’s iPhone		Voice Memos						Voice Memo	147164	17						4/24/21, 3:33 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:33 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/120. AGA, LP-2, Ec, water.m4a
121. AGA, LP-2-Rev, creeping/harmonics	Sam’s iPhone		Voice Memos						Voice Memo	247620	30						4/24/21, 3:33 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:33 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/121. AGA, LP-2-Rev, creeping_harmonics.m4a
122. AGA, minor/quick-riff	Sam’s iPhone		Voice Memos						Voice Memo	130253	15						4/24/21, 3:34 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:34 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/122. AGA, minor_quick-riff.m4a
123. AGA, LP-3, minor/weak/dissonant	Sam’s iPhone		Voice Memos						Voice Memo	122771	14						4/24/21, 3:34 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			7	4/24/21, 3:34 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/123. AGA, LP-3, minor_weak_dissonant.m4a
124. Windshield Wipers/Rain	Sam’s iPhone		Voice Memos						Voice Memo	72935	8						4/24/21, 3:34 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:34 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/124. Windshield Wipers_Rain.m4a
125. EGA, LP-2-Rev, Ec, minor	Sam’s iPhone		Voice Memos						Voice Memo	305083	37						4/24/21, 3:34 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:34 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/125. EGA, LP-2-Rev, Ec, minor.m4a
126. EGA, Ec, Percussion, minor/scary	Sam’s iPhone		Voice Memos						Voice Memo	125325	14						4/24/21, 3:34 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:34 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/126. EGA, Ec, Percussion, minor_scary.m4a
127. EGA, LP-Rev, Ec, major/carnival	Sam’s iPhone		Voice Memos						Voice Memo	251949	31						4/24/21, 3:35 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/21/21, 10:54 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/127. EGA, LP-Rev, Ec, major_carnival.m4a
128. Beatbox	Sam’s iPhone		Voice Memos						Voice Memo	153852	18						4/24/21, 3:35 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:35 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/128. Beatbox.m4a
129. Piano, major/routine	Sam’s iPhone		Voice Memos						Voice Memo	202069	24						4/24/21, 3:35 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:35 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/129. Piano, major_routine.m4a
130. AG, major/dance	Sam’s iPhone		Voice Memos						Voice Memo	103734	12						4/24/21, 3:35 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:35 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/130. AG, major_dance.m4a
131. AGA, minor/journey/tense	Sam’s iPhone		Voice Memos						Voice Memo	93389	11						4/24/21, 3:35 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:35 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/131. AGA, minor_journey_tense.m4a
132. EGA, LP-2, major/tell you	Sam’s iPhone		Voice Memos						Voice Memo	121731	14						4/24/21, 3:36 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			8	4/24/21, 3:36 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/132. EGA, LP-2, major_tell you.m4a
133. EGA, LP-2, major/tell you	Sam’s iPhone		Voice Memos						Voice Memo	129479	15						4/24/21, 3:36 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:36 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/133. EGA, LP-2, major_tell you.m4a
134. EGA, LP-3, water	Sam’s iPhone		Voice Memos						Voice Memo	178103	21						4/24/21, 3:36 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:36 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/134. EGA, LP-3, water.m4a
135. EGA, major/stepwise	Sam’s iPhone		Voice Memos						Voice Memo	166568	20						4/24/21, 3:37 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:36 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/135. EGA, major_stepwise.m4a
136. AG, ambiguous	Sam’s iPhone		Voice Memos						Voice Memo	290472	35						4/24/21, 3:37 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/23/21, 8:28 AM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/136. AG, ambiguous.m4a
137. AG, trying	Sam’s iPhone		Voice Memos						Voice Memo	277244	34						4/24/21, 3:37 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:37 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/137. AG, trying.m4a
138. EGA, LP-Rev, major/carnival	Sam’s iPhone		Voice Memos						Voice Memo	166266	20						4/24/21, 3:37 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:37 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/138. EGA, LP-Rev, major_carnival.m4a
139. EGA, LP-2, Ec, major/water/flowing	Sam’s iPhone		Voice Memos						Voice Memo	151764	18						4/24/21, 3:37 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:37 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/139. EGA, LP-2, Ec, major_water_flowing.m4a
140. EGA, Dis, major/old	Sam’s iPhone		Voice Memos						Voice Memo	73441	8						4/24/21, 3:38 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:38 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/140. EGA, Dis, major_old.m4a
141. AG, major/hopeful	Sam’s iPhone		Voice Memos						Voice Memo	168676	20						4/24/21, 3:38 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:38 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/141. AG, major_hopeful.m4a
142. AG, major/old-timey	Sam’s iPhone		Voice Memos						Voice Memo	142322	17						4/24/21, 3:38 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:38 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/142. AG, major_old-timey.m4a
143. AG, thoughtful	Sam’s iPhone		Voice Memos						Voice Memo	393651	48						4/24/21, 3:38 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/23/21, 8:36 AM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/143. AG, thoughtful.m4a
144. AG, major/hopeful	Sam’s iPhone		Voice Memos						Voice Memo	213425	26						4/24/21, 3:38 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			1	4/23/21, 8:36 AM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/144. AG, major_hopeful.m4a
145. AG, major/slides	Sam’s iPhone		Voice Memos						Voice Memo	208975	25						4/24/21, 3:41 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:41 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/145. AG, major_slides.m4a
146. AG, harmonics	Sam’s iPhone		Voice Memos						Voice Memo	122281	14						4/24/21, 3:39 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:39 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/146. AG, harmonics.m4a
147. AG, asking	Sam’s iPhone		Voice Memos						Voice Memo	486005	60						4/24/21, 3:41 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			1	4/24/21, 3:41 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/147. AG, asking.m4a
148. AG, firmly asking	Sam’s iPhone		Voice Memos						Voice Memo	201590	24						4/24/21, 3:42 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/23/21, 8:39 AM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/148. AG, firmly asking.m4a
149. AG, minor/mysterious/scary	Sam’s iPhone		Voice Memos						Voice Memo	232809	28						4/24/21, 3:42 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/23/21, 8:40 AM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/149. AG, minor_mysterious_scary.m4a
150. EG, major/summer festival	Sam’s iPhone		Voice Memos						Voice Memo	62833	19						4/24/21, 3:42 PM	12/12/19, 5:19 PM	24	16000		AAC audio file			4	4/24/21, 3:42 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/150. EG, major_summer festival.m4a
151. Radiator sounds	Sam’s iPhone		Voice Memos						Voice Memo	206050	24						4/24/21, 3:42 PM	12/12/19, 5:19 PM	64	44100		AAC audio file								Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/151. Radiator sounds.m4a
152. AG, difficulty leaving	Sam’s iPhone		Voice Memos						Voice Memo	367419	44						4/24/21, 3:42 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:42 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/152. AG, difficulty leaving.m4a
153. AG, major/sequential	Sam’s iPhone		Voice Memos						Voice Memo	329007	40						4/24/21, 3:43 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/23/21, 8:45 AM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/153. AG, major_sequential.m4a
154. AG, reunion	Sam’s iPhone		Voice Memos						Voice Memo	94840	11						4/24/21, 3:43 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:43 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/154. AG, reunion.m4a
155. AG, intended outcome	Sam’s iPhone		Voice Memos						Voice Memo	343476	42						4/24/21, 3:44 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/23/21, 8:48 AM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/155. AG, intended outcome.m4a
156. AG, intended outcome	Sam’s iPhone		Voice Memos						Voice Memo	498602	61						4/24/21, 3:44 PM	12/12/19, 5:19 PM	64	44100		AAC audio file								Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/156. AG, intended outcome.m4a
